Handle,Title,Body (HTML),Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Standard Product Type,Custom Product Type
tarot-gothic-by-anne-stokes,Tarot: Gothic by Anne Stokes,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD JKRF41590,0,shopify ,1,deny,manual,20,,TRUE,TRUE,8420707415907,,,,,,,,,,,,,,,,,,,,,,,10.59,active,,
candy-land,Candy Land,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBA4813,0,shopify ,0,deny,manual,12,,TRUE,TRUE,630509312399,,,,,,,,,,,,,,,,,,,,,,,6.9,active,,
catan-extension-5-6-player,Catan Extension: 5-6 Player,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD CNS3072,0,shopify ,2,deny,manual,32.5,,TRUE,TRUE,29877030729,,,,,,,,,,,,,,,,,,,,,,,17.1,active,,
checkerschessbackgammon,Checkers/Chess/Backgammon,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD ELG6020,0,shopify ,4,deny,manual,9.75,,TRUE,TRUE,632468060205,,,,,,,,,,,,,,,,,,,,,,,5.29,active,,
chess-red-box,Chess (Red Box),,ACD Distribution,,FALSE,Title,Default ,,,,,ACD JAX190106,0,shopify ,0,deny,manual,6,,TRUE,TRUE,21853019018,,,,,,,,,,,,,,,,,,,,,,,2.98,active,,
classic-game-of-life,Classic Game of Life,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBE4304,0,shopify ,0,deny,manual,21,,TRUE,TRUE,630509720378,,,,,,,,,,,,,,,,,,,,,,,14.75,active,,
classic-monopoly,Classic Monopoly,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBC1009,0,shopify ,1,deny,manual,21,,TRUE,TRUE,630509512638,,,,,,,,,,,,,,,,,,,,,,,15.28,active,,
classic-mousetrap,Classic Mousetrap,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBC0431,0,shopify ,0,deny,manual,22,,TRUE,TRUE,630509498772,,,,,,,,,,,,,,,,,,,,,,,15.8,active,,
classic-operation,Classic Operation,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBB2176,0,shopify ,1,deny,manual,20,,TRUE,TRUE,630509441600,,,,,,,,,,,,,,,,,,,,,,,14.05,active,,
classic-simon,Classic Simon,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBE9383,0,shopify ,0,deny,manual,21,,TRUE,TRUE,5010993686179,,,,,,,,,,,,,,,,,,,,,,,14.75,active,,
connect-4-grid,Connect 4 Grid,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBA5640,0,shopify ,0,deny,manual,14,,TRUE,TRUE,195166128146,,,,,,,,,,,,,,,,,,,,,,,7.9,active,,
dont-spill-the-beans,Don’t Spill the Beans,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBC0203,0,shopify ,2,deny,manual,10,,TRUE,TRUE,630509496686,,,,,,,,,,,,,,,,,,,,,,,7.38,active,,
guess-who,Guess Who?,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD WNM1191,0,shopify ,1,deny,manual,20,,TRUE,TRUE,714043011915,,,,,,,,,,,,,,,,,,,,,,,11.37,active,,
hi-ho-cherry-o,Hi Ho Cherry-O,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBA4755,0,shopify ,2,deny,manual,10,,TRUE,TRUE,653569868200,,,,,,,,,,,,,,,,,,,,,,,6.33,active,,
jenga-classic,Jenga Classic,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBA2120,0,shopify ,2,deny,manual,15,,TRUE,TRUE,653569825586,,,,,,,,,,,,,,,,,,,,,,,9.59,active,,
monopoly-junior,Monopoly Junior,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBA6984,0,shopify ,0,deny,manual,15,,TRUE,TRUE,630509735563,,,,,,,,,,,,,,,,,,,,,,,11.85,active,,
monopoly-arcade-pacman,Monopoly: Arcade Pacman,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBE7030,0,shopify ,0,deny,manual,33,,TRUE,TRUE,630509894062,,,,,,,,,,,,,,,,,,,,,,,22.12,active,,
monopoly-the-child,Monopoly: The Child,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBF2013,0,shopify ,0,deny,manual,22,,TRUE,TRUE,630509987986,,,,,,,,,,,,,,,,,,,,,,,15.8,active,,
perfection,Perfection,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBC0432,0,shopify ,0,deny,manual,22,,TRUE,TRUE,630509498796,,,,,,,,,,,,,,,,,,,,,,,15.8,active,,
poker-chips-2-gram-plastic-100-count,Poker Chips: 2 Gram Plastic 100 Count,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD JKR1006252,0,shopify ,2,deny,manual,6,,TRUE,TRUE,73854001042,,,,,,,,,,,,,,,,,,,,,,,2.64,active,,
risk,Risk,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBB7404,0,shopify ,2,deny,manual,32,,TRUE,TRUE,630509426027,,,,,,,,,,,,,,,,,,,,,,,20.54,active,,
risk-junior,Risk: Junior,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBE6936,0,shopify ,2,deny,manual,16,,TRUE,TRUE,630509874200,,,,,,,,,,,,,,,,,,,,,,,11.85,active,,
scrabble-new-classic,Scrabble New Classic,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBA8166,0,shopify ,0,deny,manual,20,,TRUE,TRUE,653569973720,,,,,,,,,,,,,,,,,,,,,,,11.95,active,,
sorry-game-refresh,Sorry! Game (refresh),,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBA5065,0,shopify ,2,deny,manual,15,,TRUE,TRUE,630509938124,,,,,,,,,,,,,,,,,,,,,,,7.9,active,,
trouble,Trouble,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBA5064,0,shopify ,2,deny,manual,14,,TRUE,TRUE,630509870233,,,,,,,,,,,,,,,,,,,,,,,7.9,active,,
twister,Twister,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSB98831,0,shopify ,0,deny,manual,25,,TRUE,TRUE,630509861668,,,,,,,,,,,,,,,,,,,,,,,13.16,active,,
yahtzee,Yahtzee,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSB00950,0,shopify ,3,deny,manual,12,,TRUE,TRUE,630509329113,,,,,,,,,,,,,,,,,,,,,,,6.33,active,,
d20-jumbo-plush-blu,D20 Jumbo Plush (BLU),,ACD Distribution,,FALSE,Title,Default ,,,,,ACD ULP85856,0,shopify ,0,deny,manual,21.75,,TRUE,TRUE,74427858568,,,,,,,,,,,,,,,,,,,,,,,13.36,active,,
d20-jumbo-plush-grn,D20 Jumbo Plush (GRN),,ACD Distribution,,FALSE,Title,Default ,,,,,ACD ULP15234,0,shopify ,0,deny,manual,21.75,,TRUE,TRUE,74427152345,,,,,,,,,,,,,,,,,,,,,,,13.36,active,,
d20-jumbo-plush-red,D20 Jumbo Plush (RED),,ACD Distribution,,FALSE,Title,Default ,,,,,ACD ULP85336,0,shopify ,0,deny,manual,21.75,,TRUE,TRUE,74427853365,,,,,,,,,,,,,,,,,,,,,,,13.36,active,,
sesame-street-mini-plush,Sesame Street Mini Plush,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBC2222,0,shopify ,2,deny,manual,10,,TRUE,TRUE,630509578887 630509578894,,,,,,,,,,,,,,,,,,,,,,,6.05,active,,
bop-it,Bop It,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBE6393,0,shopify ,2,deny,manual,16,,TRUE,TRUE,630509850808,,,,,,,,,,,,,,,,,,,,,,,11.06,active,,
figures-of-adorable-power-black-dragon,Figures of Adorable Power: Black Dragon,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD ULP18350,0,shopify ,2,deny,manual,15,,TRUE,TRUE,74427183509,,,,,,,,,,,,,,,,,,,,,,,8.27,active,,
figures-of-adorable-power-bulette,Figures of Adorable Power: Bulette,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD ULP18351,0,shopify ,2,deny,manual,15,,TRUE,TRUE,74427183516,,,,,,,,,,,,,,,,,,,,,,,8.27,active,,
figures-of-adorable-power-giff,Figures of Adorable Power: Giff,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD ULP86995,0,shopify ,2,deny,manual,15,,TRUE,TRUE,74427869953,,,,,,,,,,,,,,,,,,,,,,,8.27,active,,
figures-of-adorable-power-goblin,Figures of Adorable Power: Goblin,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD ULP18352,0,shopify ,2,deny,manual,15,,TRUE,TRUE,74427183523,,,,,,,,,,,,,,,,,,,,,,,8.27,active,,
figures-of-adorable-power-roper,Figures of Adorable Power: Roper,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD ULP18353,0,shopify ,0,deny,manual,15,,TRUE,TRUE,74427183530,,,,,,,,,,,,,,,,,,,,,,,8.27,active,,
rubiks-mini-cube-2x2,Rubik's Mini Cube 2x2,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBC1556,0,shopify ,0,deny,manual,8,,TRUE,TRUE,630509934683,,,,,,,,,,,,,,,,,,,,,,,5.79,active,,
rubiks-cube-3x3,Rubiks Cube 3x3,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD HSBA9312,0,shopify ,0,deny,manual,10.75,,TRUE,TRUE,630509932818 653569983866,,,,,,,,,,,,,,,,,,,,,,,6.85,active,,
call-of-cthulhu-for-beginning-readers,Call of Cthulhu For Beginning Readers,,ACD Distribution,,FALSE,Title,Default ,,,,,CAO5115,0,shopify ,0,deny,manual,20,,TRUE,TRUE,887961331240,,,,,,,,,,,,,,,,,,,,,,,10.57,active,,
munchkin-alphabet-coloring-book,Munchkin: Alphabet Coloring Book,,ACD Distribution,,FALSE,Title,Default ,,,,,SJG3411,0,shopify ,4,deny,manual,5,,TRUE,TRUE,91037863010,,,,,,,,,,,,,,,,,,,,,,,2.43,active,,
dp-inner-sleeve-64-x-89mm100,DP: Inner Sleeve (64 x 89mm)(100),,ACD Distribution,,FALSE,Title,Default ,,,,,BCDSSLVI,0,shopify ,0,deny,manual,1.5,,TRUE,TRUE,722626600593,,,,,,,,,,,,,,,,,,,,,,,0.89,active,,
side-holder-80-black,Side Holder 80 Black,,ACD Distribution,deck box,FALSE,Title,Default ,,,,,GG2542,0,shopify ,0,deny,manual,2,,TRUE,TRUE,4251715401873,,,,,,,,,,,,,,,,,,,,,,,1.09,active,,
side-holder-80-blue,Side Holder 80 Blue,,ACD Distribution,deck box,FALSE,Title,Default ,,,,,GG2543,0,shopify ,1,deny,manual,2,,TRUE,TRUE,4251715401897,,,,,,,,,,,,,,,,,,,,,,,1.09,active,,
side-holder-80-green,Side Holder 80 Green,,ACD Distribution,deck box,FALSE,Title,Default ,,,,,GG2545,0,shopify ,3,deny,manual,2,,TRUE,TRUE,4251715401934,,,,,,,,,,,,,,,,,,,,,,,1.09,active,,
side-holder-80-red,Side Holder 80 Red,,ACD Distribution,deck box,FALSE,Title,Default ,,,,,GG2544,0,shopify ,1,deny,manual,2,,TRUE,TRUE,4251715401910,,,,,,,,,,,,,,,,,,,,,,,1.09,active,,
bicycle-archangels,Bicycle Archangels,,ACD Distribution,playing cards,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,6,,TRUE,TRUE,73854019825,,,,,,,,,,,,,,,,,,,,,,,3.17,active,,
bicycle-asteroid,Bicycle Asteroid,,ACD Distribution,playing cards,FALSE,Title,Default ,,,,,ACD JKR1043632,0,shopify ,2,deny,manual,6,,TRUE,TRUE,73854024928,,,,,,,,,,,,,,,,,,,,,,,3.17,active,,
bicycle-aureo,Bicycle Aureo,,ACD Distribution,playing cards,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,6,,TRUE,TRUE,73854024324,,,,,,,,,,,,,,,,,,,,,,,3.17,active,,
bicycle-unicorns,Bicycle Unicorns,,ACD Distribution,playing cards,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,5,,TRUE,TRUE,73854024768,,,,,,,,,,,,,,,,,,,,,,,2.64,active,,
dragon-playing-cards,Dragon Playing Cards,,ACD Distribution,playing cards,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,5,,TRUE,TRUE,73854024300,,,,,,,,,,,,,,,,,,,,,,,2.64,active,,
skip-bo,Skip-Bo,,ACD Distribution,playing cards,FALSE,Title,Default ,,,,,,0,shopify ,2,deny,manual,7.99,,TRUE,TRUE,78206020504,,,,,,,,,,,,,,,,,,,,,,,6.12,active,,
uno-card-game,UNO Card Game,,ACD Distribution,playing cards,FALSE,Title,Default ,,,,,,0,shopify ,1,deny,manual,6,,TRUE,TRUE,78206020016,,,,,,,,,,,,,,,,,,,,,,,4.24,active,,
uno-harry-potter,UNO Harry Potter,,ACD Distribution,playing cards,FALSE,Title,Default ,,,,,,0,shopify ,1,deny,manual,6,,TRUE,TRUE,887961587579,,,,,,,,,,,,,,,,,,,,,,,4.24,active,,
uno-minecraft,UNO Minecraft,,ACD Distribution,playing cards,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,6,,TRUE,TRUE,887961606782,,,,,,,,,,,,,,,,,,,,,,,4.24,active,,
uno-super-mario-bros,UNO Super Mario Bros,,ACD Distribution,playing cards,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,6,,TRUE,TRUE,830395024684,,,,,,,,,,,,,,,,,,,,,,,4.24,active,,
wall-scroll-mtg-stained-glass-jace,Wall Scroll: MtG: Stained Glass: Jace,,ACD Distribution,Ultra Pro,FALSE,Title,Default ,,,,,,0,shopify ,1,deny,manual,27,,TRUE,TRUE,74427181789,,,,,,,,,,,,,,,,,,,,,,,13,active,,
wall-scroll-mtg-stained-glass-nissa,Wall Scroll: MtG: Stained Glass: Nissa,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,1,deny,manual,27,,TRUE,TRUE,74427181727,,,,,,,,,,,,,,,,,,,,,,,13,active,,
wall-scroll-mtg-stained-glass-ugin,Wall Scroll: MtG: Stained Glass: Ugin,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,27,,TRUE,TRUE,74427181710,,,,,,,,,,,,,,,,,,,,,,,13,active,,
d6-dice-cube-blue-12mm-36ct,"d6 Dice Cube, Blue, 12mm, 36ct",,ACD Distribution,"dice, set, d6",FALSE,Title,Default ,,,,,CHX23806,0,shopify ,1,deny,manual,9.95,,TRUE,TRUE,850365002191,,,,,,,,,,,,,,,,,,,,,,,5.29,active,,
d6-dice-cube-green-12mm-36ct,"d6 Dice Cube, Green, 12mm, 36ct",,ACD Distribution,"dice, set, d6",FALSE,Title,Default ,,,,,CHX23805,0,shopify ,2,deny,manual,9.95,,TRUE,TRUE,601982020576,,,,,,,,,,,,,,,,,,,,,,,5.29,active,,
d6-dice-cube-purple-16mm-12ct,"d6 Dice Cube, Purple, 16mm, 12ct",,ACD Distribution,"dice, set, d6",FALSE,Title,Default ,,,,,CHX23607,0,shopify ,0,deny,manual,6.95,,TRUE,TRUE,601982020477,,,,,,,,,,,,,,,,,,,,,,,3.68,active,,
d6-dice-cube-red-12mm-36ct,"d6 Dice Cube, Red, 12mm, 36ct",,ACD Distribution,"dice, set, d6",FALSE,Title,Default ,,,,,CHX23804,0,shopify ,1,deny,manual,9.95,,TRUE,TRUE,601982020569,,,,,,,,,,,,,,,,,,,,,,,5.29,active,,
d6-dice-cube-red-16mm-12ct,"d6 Dice Cube, Red, 16mm, 12ct",,ACD Distribution,"dice, set, d6",FALSE,Title,Default ,,,,,CHX23604,0,shopify ,1,deny,manual,6.95,,TRUE,TRUE,601982020446,,,,,,,,,,,,,,,,,,,,,,,3.68,active,,
d6-bicycle-5-diceset,d6 Bicycle (5 dice/set),,ACD Distribution,"dice, set, d6",FALSE,Title,Default ,,,,,,0,shopify ,5,deny,manual,2,,TRUE,TRUE,73854001066,,,,,,,,,,,,,,,,,,,,,,,1.05,active,,
d60-35mm-blackwhite,"D60, 35mm, Black/White",,ACD Distribution,"dice, d60",FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,6.95,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,3.45,active,,
d60-35mm-redwhite,"D60, 35mm, Red/White",,ACD Distribution,"dice, d60",FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,6.95,,TRUE,TRUE,73854024300,,,,,,,,,,,,,,,,,,,,,,,3.45,active,,
puzzle-unicorn-glitterluck-cloud-20pc,Puzzle: Unicorn Glitterluck Cloud 20pc,,ACD Distribution,puzzle,FALSE,Title,Default ,,,,,,0,shopify ,1,deny,manual,16.25,,TRUE,TRUE,4010168250519,,,,,,,,,,,,,,,,,,,,,,,7.96,active,,
call-of-cthulhu-starter-set,Call of Cthulhu: Starter Set,,ACD Distribution,starter set,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,27.25,,TRUE,TRUE,9781568824543,,,,,,,,,,,,,,,,,,,,,,,13.24,active,,
barrel-of-monkeys,Barrel of Monkeys,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,1,deny,manual,5.5,,TRUE,TRUE,653569817994,,,,,,,,,,,,,,,,,,,,,,,3.43,active,,
battleship,Battleship,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,20.5,,TRUE,TRUE,887961606782,,,,,,,,,,,,,,,,,,,,,,,11.25,active,,
boss-monster-dungeon-building-card-game,Boss Monster: Dungeon Building Card Game,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,2,deny,manual,27.25,,TRUE,TRUE,856934004009,,,,,,,,,,,,,,,,,,,,,,,13.24,active,,
candyland-65th-anniversary-edition,Candyland: 65th Anniversary Edition,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,17.25,,TRUE,TRUE,714043011892,,,,,,,,,,,,,,,,,,,,,,,9.57,active,,
catan,Catan,,ACD Distribution,,FALSE,Title,Default ,,,,,CN3071,0,shopify ,1,deny,manual,60,,TRUE,TRUE,29877030712,,,,,,,,,,,,,,,,,,,,,,,29.43,active,,
chutes-and-ladders,Chutes and Ladders,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,2,deny,manual,10.75,,TRUE,TRUE,653569868187,,,,,,,,,,,,,,,,,,,,,,,6.33,active,,
connect-4-grab-go,Connect 4 Grab & Go,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,7.5,,TRUE,TRUE,849803052485,,,,,,,,,,,,,,,,,,,,,,,3.8,active,,
cyoa-house-of-danger,CYOA: House of Danger,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,1,deny,manual,25,,TRUE,TRUE,841333105761,,,,,,,,,,,,,,,,,,,,,,,14.24,active,,
dont-break-the-ice,Don't Break the Ice,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,16.25,,TRUE,TRUE,630509534050,,,,,,,,,,,,,,,,,,,,,,,10.54,active,,
double-nine-wooden-dominoes,Double Nine Wooden Dominoes,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,1,deny,manual,5.5,,TRUE,TRUE,21853016215,,,,,,,,,,,,,,,,,,,,,,,3.5,active,,
double-six-wooden-dominoes,Double Six Wooden Dominoes,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,3.25,,TRUE,TRUE,21853015218,,,,,,,,,,,,,,,,,,,,,,,1.79,active,,
electronic-catch-phrase,Electronic Catch Phrase,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,1,deny,manual,22.75,,TRUE,TRUE,630509427208,,,,,,,,,,,,,,,,,,,,,,,16.43,active,,
gloom-2nd-edition,Gloom (2nd Edition),,ACD Distribution,,FALSE,Title,Default ,,,,,AG1350,0,shopify ,1,deny,manual,27,,TRUE,TRUE,9781589781443,,,,,,,,,,,,,,,,,,,,,,,12.48,active,,
hungry-hungry-hippos,"Hungry, Hungry Hippos",,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,21.75,,TRUE,TRUE,630509648412,,,,,,,,,,,,,,,,,,,,,,,15.01,active,,
monopoly-deadpool,Monopoly: Deadpool,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,21.75,,TRUE,TRUE,630509625604,,,,,,,,,,,,,,,,,,,,,,,14.75,active,,
never-bring-a-knife,Never Bring a Knife,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,1,deny,manual,19.5,,TRUE,TRUE,9781589781993,,,,,,,,,,,,,,,,,,,,,,,9.51,active,,
retro-battleship,Retro Battleship,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,22.75,,TRUE,TRUE,73854024928,,,,,,,,,,,,,,,,,,,,,,,16.43,active,,
spot-it-classic,Spot It! Classic,,ACD Distribution,,FALSE,Title,Default ,,,,,SP411,0,shopify ,1,deny,manual,15,,TRUE,TRUE,803979004112,,,,,,,,,,,,,,,,,,,,,,,7.4,active,,
ticket-to-ride,Ticket to Ride,,ACD Distribution,,FALSE,Title,Default ,,,,,DO7201,0,shopify ,1,deny,manual,60,,TRUE,TRUE,824968717912,,,,,,,,,,,,,,,,,,,,,,,29.42,active,,
yahtzee-score-pads,Yahtzee Score Pads,,ACD Distribution,,FALSE,Title,Default ,,,,,,0,shopify ,5,deny,manual,4.25,,TRUE,TRUE,630509329083,,,,,,,,,,,,,,,,,,,,,,,2.48,active,,
pride-flag-asexual-3x5,"Pride Flag, Asexual, 3'x5'",,Alibaba,,FALSE,Title,Default ,,,,,D1628363458,0,shopify ,5,deny,manual,10,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,2.09,active,,
pride-flag-bisexual-3x5,"Pride Flag, Bisexual, 3'x5'",,Alibaba,,FALSE,Title,Default ,,,,,D1628364465,0,shopify ,3,deny,manual,10,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,2.09,active,,
pride-flag-genderfluid-3x5,"Pride Flag, Genderfluid, 3'x5'",,Alibaba,,FALSE,Title,Default ,,,,,D1628361340,0,shopify ,6,deny,manual,10,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,2.09,active,,
pride-flag-hippy-3x5,"Pride Flag, Hippy, 3'x5'",,Alibaba,,FALSE,Title,Default ,,,,,D1628358276,0,shopify ,5,deny,manual,10,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,2.06,active,,
pride-flag-lesbian-3x5,"Pride Flag, Lesbian, 3'x5'",,Alibaba,,FALSE,Title,Default ,,,,,D1628359941,0,shopify ,8,deny,manual,10,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,2.09,active,,
pride-flag-non-binary-3x5,"Pride Flag, Non Binary, 3'x5'",,Alibaba,,FALSE,Title,Default ,,,,,D1628360597,0,shopify ,5,deny,manual,10,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,2.09,active,,
pride-flag-pansexual-3x5,"Pride Flag, Pansexual, 3'x5'",,Alibaba,,FALSE,Title,Default ,,,,,D1628364301,0,shopify ,1,deny,manual,10,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,2.09,active,,
pride-flag-peace-3x5,"Pride Flag, Peace, 3'x5'",,Alibaba,,FALSE,Title,Default ,,,,,D1628359021,0,shopify ,5,deny,manual,10,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,2.09,active,,
